image_path,label
/workspace/dataset/ePill/classification_data/fcn_mix_weight/dr_224/00074-9189-90_PART_1_OF_1_CHAL10_SB_DF1DEFBF.jpg,pill
/workspace/dataset/ePill/classification_data/segmented_nih_pills_224/0591-0369_0_0.jpg,pill
/workspace/dataset/ePill/classification_data/segmented_nih_pills_224/0093-5275_0_1.jpg,pill
/workspace/dataset/ePill/classification_data/fcn_mix_weight/dc_224/2257.jpg,pill
/workspace/dataset/ePill/classification_data/segmented_nih_pills_224/16590-055_0_1.jpg,pill
/workspace/dataset/ePill/classification_data/fcn_mix_weight/dr_224/00172-5311-60_PART_1_OF_1_CHAL10_SF_04280270.jpg,pill
/workspace/dataset/ePill/classification_data/fcn_mix_weight/dc_224/4041.jpg,pill
/workspace/dataset/ePill/classification_data/fcn_mix_weight/dc_224/3690.jpg,pill
/workspace/dataset/ePill/classification_data/segmented_nih_pills_224/0781-5555_0_0.jpg,pill
/workspace/dataset/ePill/classification_data/segmented_nih_pills_224/49884-406_0_0.jpg,pill
/workspace/dataset/ePill/classification_data/fcn_mix_weight/dr_224/00555-0886-02_PART_1_OF_1_CHAL10_SB_4D2F2689.jpg,pill
/workspace/dataset/ePill/classification_data/segmented_nih_pills_224/0143-1202_0_1.jpg,pill
/workspace/dataset/ePill/classification_data/fcn_mix_weight/dr_224/00172-5728-60_PART_1_OF_1_CHAL10_SB_5821AC5D.jpg,pill
/workspace/dataset/ePill/classification_data/fcn_mix_weight/dc_224/808.jpg,pill
/workspace/dataset/ePill/classification_data/segmented_nih_pills_224/43353-034_0_1.jpg,pill
/workspace/dataset/ePill/classification_data/fcn_mix_weight/dc_224/584.jpg,pill
/workspace/dataset/ePill/classification_data/fcn_mix_weight/dc_224/2161.jpg,pill
/workspace/dataset/ePill/classification_data/fcn_mix_weight/dc_224/4642.jpg,pill
/workspace/dataset/ePill/classification_data/fcn_mix_weight/dr_224/64679-0929-01_PART_1_OF_1_CHAL10_SB_6521B2ED.jpg,pill
/workspace/dataset/ePill/classification_data/segmented_nih_pills_224/10544-253_0_1.jpg,pill
/workspace/dataset/ePill/classification_data/fcn_mix_weight/dc_224/4838.jpg,pill
/workspace/dataset/ePill/classification_data/fcn_mix_weight/dc_224/207.jpg,pill
/workspace/dataset/ePill/classification_data/fcn_mix_weight/dr_224/00093-4234-01_PART_1_OF_1_CHAL10_SF_292D1488.jpg,pill
/workspace/dataset/ePill/classification_data/segmented_nih_pills_224/21695-120_0_0.jpg,pill
/workspace/dataset/ePill/classification_data/segmented_nih_pills_224/54458-885_0_1.jpg,pill
